bits,group_size,bias_bits,index,value
3,2,8,149,0.021526403725147247
3,2,8,150,0.025440320372581482
3,2,8,151,0.025440320372581482
3,2,8,152,0.025440320372581482
3,2,8,153,0.029354207217693329
3,2,8,154,0.029354207217693329
3,2,8,155,0.029354207217693329
3,2,8,156,0.033268094062805176
3,2,8,157,0.033268094062805176
3,2,8,158,0.033268094062805176
3,2,8,159,0.037181980907917023
3,2,8,160,0.037181980907917023
3,2,8,161,0.037181980907917023
3,2,8,162,0.04109586775302887
3,2,8,163,0.04109586775302887
3,2,8,164,0.045009784400463104
3,2,8,165,0.045009784400463104
3,2,8,166,0.045009784400463104
3,2,8,167,0.048923671245574951
3,2,8,168,0.048923671245574951
3,2,8,169,0.052837558090686798
3,2,8,170,0.052837558090686798
3,2,8,171,0.056751474738121033
3,2,8,172,0.06066536158323288
3,2,8,173,0.06066536158323288
3,2,8,174,0.064579248428344727
3,2,8,175,0.068493135273456573
3,2,8,176,0.07240702211856842
3,2,8,177,0.076320938766002655
3,2,8,178,0.080234825611114502
3,2,8,179,0.088062629103660583
3,2,8,180,0.099804289638996124
3,2,8,181,0.1154598668217659
3,2,8,182,0.27592957019805908
3,2,8,183,0.29158508777618408
3,2,8,184,0.30332678556442261
3,2,8,185,0.30724072456359863
3,2,8,186,0.31115460395812988
3,2,8,187,0.31506848335266113
3,2,8,188,0.31898236274719238
3,2,8,189,0.31898236274719238
3,2,8,190,0.32289624214172363
3,2,8,191,0.32681018114089966
3,2,8,192,0.33072406053543091
3,2,8,193,0.33463793992996216
3,2,8,194,0.33855187892913818
3,2,8,195,0.34246575832366943
3,2,8,196,0.34246575832366943
3,2,8,197,0.34637963771820068
3,2,8,198,0.35029351711273193
3,2,8,199,0.35420739650726318
3,2,8,200,0.35420739650726318
3,2,8,201,0.35812133550643921
3,2,8,202,0.36203521490097046
3,2,8,203,0.36594909429550171
3,2,8,204,0.36986303329467773
3,2,8,205,0.37377691268920898
3,2,8,206,0.37769079208374023
3,2,8,207,0.38160467147827148
3,2,8,208,0.38551855087280273
3,2,8,209,0.38943248987197876
3,2,8,210,0.39334636926651001
3,2,8,211,0.40117418766021729
3,2,8,212,0.41682970523834229
3,2,8,213,0.43248534202575684
3,2,8,214,0.56164383888244629
3,2,8,215,0.57729941606521606
3,2,8,216,0.58904111385345459
3,2,8,217,0.59295499324798584
3,2,8,218,0.59686887264251709
3,2,8,219,0.60078275203704834
3,2,8,220,0.60469663143157959
3,2,8,221,0.60861057043075562
3,2,8,222,0.61252444982528687
3,2,8,223,0.61643832921981812
3,2,8,224,0.62035226821899414
3,2,8,225,0.62426614761352539
3,2,8,226,0.62818002700805664
3,2,8,227,0.63209390640258789
3,2,8,228,0.63600778579711914
3,2,8,229,0.63992172479629517
3,2,8,230,0.64383560419082642
3,2,8,231,0.64774948358535767
3,2,8,232,0.65166342258453369
3,2,8,233,0.65557730197906494
3,2,8,234,0.66340506076812744
3,2,8,235,0.66731894016265869
3,2,8,236,0.67906063795089722
3,2,8,237,0.69471621513366699
3,2,8,238,0.80821919441223145
3,2,8,239,0.82387471199035645
3,2,8,240,0.839530348777771
3,2,8,241,0.8473581075668335
3,2,8,242,0.85127198696136475
3,2,8,243,0.85909980535507202
3,2,8,244,0.86301368474960327
3,2,8,245,0.87084150314331055
3,2,8,246,0.8747553825378418
3,2,8,247,0.8825831413269043
3,2,8,248,0.88649702072143555
3,2,8,249,0.89041095972061157
3,2,8,250,0.9021526575088501
3,2,8,251,0.90606653690338135
3,2,8,252,0.91389429569244385
3,2,8,253,0.92172211408615112
3,2,8,254,0.9373776912689209
3,2,8,255,0.96086102724075317
4,2,2,0,-0.76516628265380859
4,2,2,1,-0.11154601722955704
4,2,2,2,0.10763209313154221
4,2,2,3,0.76125240325927734
4,2,3,0,-0.78864967823028564
4,2,3,1,-0.40117418766021729
4,2,3,2,-0.21722114086151123
4,2,3,3,-0.025440327823162079
4,2,3,4,0.025440320372581482
4,2,3,5,0.20939332246780396
4,2,3,6,0.40117418766021729
4,2,3,7,0.80821919441223145
4,2,4,0,-0.8904109001159668
4,2,4,1,-0.69080233573913574
4,2,4,2,-0.51859104633331299
4,2,4,3,-0.37377691268920898
4,2,4,4,-0.19765165448188782
4,2,4,5,-0.060665369033813477
4,2,4,6,-0.029354214668273926
4,2,4,7,-0.0058708339929580688
4,2,4,8,0.013698630034923553
4,2,4,9,0.033268094062805176
4,2,4,10,0.06066536158323288
4,2,4,11,0.20156556367874146
4,2,4,12,0.37769079208374023
4,2,4,13,0.51859098672866821
4,2,4,14,0.69080233573913574
4,2,4,15,0.89432483911514282
4,2,6,0,-0.96086108684539795
4,2,6,1,-0.9217221736907959
4,2,6,2,-0.84344422817230225
4,2,6,3,-0.80821919441223145
4,2,6,4,-0.77299416065216064
4,2,6,5,-0.68688845634460449
4,2,6,6,-0.63992166519165039
4,2,6,7,-0.55381608009338379
4,2,6,8,-0.52641880512237549
4,2,6,9,-0.49119377136230469
4,2,6,10,-0.40117418766021729
4,2,6,11,-0.37377691268920898
4,2,6,12,-0.34637963771820068
4,2,6,13,-0.32681015133857727
4,2,6,14,-0.24853229522705078
4,2,6,15,-0.22504891455173492
4,2,6,16,-0.20939336717128754
4,2,6,17,-0.18982386589050293
4,2,6,18,-0.16634050011634827
4,2,6,19,-0.080234862864017487
4,2,6,20,-0.060665369033813477
4,2,6,21,-0.048923708498477936
4,2,6,22,-0.045009821653366089
4,2,6,23,-0.041095875203609467
4,2,6,24,-0.033268101513385773
4,2,6,25,-0.025440327823162079
4,2,6,26,-0.021526440978050232
4,2,6,27,-0.017612554132938385
4,2,6,28,-0.0097847208380699158
4,2,6,29,-0.0058708339929580688
4,2,6,30,-0.0019569471478462219
4,2,6,31,-0.0019569471478462219
4,2,6,32,0.001956939697265625
4,2,6,33,0.0058708265423774719
4,2,6,34,0.0097847133874893188
4,2,6,35,0.013698630034923553
4,2,6,36,0.0176125168800354
4,2,6,37,0.025440320372581482
4,2,6,38,0.029354207217693329
4,2,6,39,0.037181980907917023
4,2,6,40,0.04109586775302887
4,2,6,41,0.048923671245574951
4,2,6,42,0.06066536158323288
4,2,6,43,0.080234825611114502
4,2,6,44,0.16242659091949463
4,2,6,45,0.17416828870773315
4,2,6,46,0.18982386589050293
4,2,6,47,0.20547944307327271
4,2,6,48,0.22504889965057373
4,2,6,49,0.24853229522705078
4,2,6,50,0.33072406053543091
4,2,6,51,0.35029351711273193
4,2,6,52,0.37377691268920898
4,2,6,53,0.40900194644927979
4,2,6,54,0.49510765075683594
4,2,6,55,0.53816044330596924
4,2,6,56,0.63209390640258789
4,2,6,57,0.66340506076812744
4,2,6,58,0.69471621513366699
4,2,6,59,0.78082191944122314
4,2,6,60,0.82778865098953247
4,2,6,61,0.9021526575088501
4,2,6,62,0.92954987287521362
4,2,6,63,0.96868884563446045
4,2,8,0,-0.98825836181640625
4,2,8,1,-0.96868884563446045
4,2,8,2,-0.9569472074508667
4,2,8,3,-0.9452054500579834
